"NGenes","Direction","PValue","FDR","set","pah_camera_z"
157,"Down",0.00681351914855696,0.233248842456015,"GOBP_POSITIVE_REGULATION_OF_AMIDE_METABOLIC_PROCESS",-2.70582377901828
14,"Down",0.00684040595279071,0.233248842456015,"GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION",-2.70451559130656
260,"Down",0.00697239501976161,0.236195577695585,"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION",-2.69815985780704
11,"Up",0.00731942198216394,0.246341325542569,"GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY",2.6819508173036
30,"Down",0.00757485130350386,0.253293253587487,"GOBP_FACE_MORPHOGENESIS",-2.67045504943231
11,"Down",0.00766544337301211,0.254679442322576,"GOBP_OSTEOCLAST_PROLIFERATION",-2.66646128927304
11,"Up",0.00785717463631454,0.259386854395021,"GOBP_TOLL_LIKE_RECEPTOR_7_SIGNALING_PATHWAY",2.65814643008039
18,"Up",0.00811588556299987,0.265624367821847,"GOBP_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING",2.6472103368998
18,"Up",0.00814861556698316,0.265624367821847,"GOBP_HEMOGLOBIN_METABOLIC_PROCESS",2.64584910839175
13,"Down",0.00830997848122439,0.269059496597833,"GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION",-2.6392087850875
13,"Down",0.00835781959333418,0.269059496597833,"GOBP_KERATINOCYTE_DEVELOPMENT",-2.63726222495843
124,"Down",0.00854780586663949,0.273477023498719,"GOBP_NCRNA_TRANSCRIPTION",-2.6296291438739
113,"Down",0.00860270005715154,0.273544750897033,"GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",-2.62745191027155
71,"Down",0.00877305160326988,0.276761061168759,"GOBP_NUCLEOSOME_ORGANIZATION",-2.62077354551918
24,"Down",0.00885622916586496,0.276761061168759,"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-2.61755470395829
90,"Down",0.00886404324792861,0.276761061168759,"GOBP_POST_EMBRYONIC_DEVELOPMENT",-2.61725370066423
195,"Down",0.00892310338426761,0.276936795453048,"GOBP_CIRCADIAN_RHYTHM",-2.61498630261991
13,"Up",0.00910374873556636,0.279942200457222,"GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES",2.60813332844764
134,"Down",0.00912796293213786,0.279942200457222,"GOBP_PROTEIN_ACYLATION",-2.60722398374249
40,"Down",0.00918753045835718,0.280111590386266,"GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY",-2.60499610427843
19,"Up",0.00937731064469302,0.28179102201445,"GOBP_GLYCEROL_ETHER_METABOLIC_PROCESS",2.59798310946584
87,"Down",0.00939412161185951,0.28179102201445,"GOBP_RNA_EXPORT_FROM_NUCLEUS",-2.5973680112833
26,"Down",0.00940572000935748,0.28179102201445,"GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION",-2.59694420851365
360,"Up",0.00956647832441493,0.28283102041551,"GOBP_REGULATION_OF_BODY_FLUID_LEVELS",2.59111763976697
15,"Up",0.00959168363139982,0.28283102041551,"GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME",2.59021202151952
18,"Down",0.0096041403806926,0.28283102041551,"GOBP_POST_EMBRYONIC_ANIMAL_ORGAN_DEVELOPMENT",-2.58976523788244
43,"Down",0.00979348628493778,0.285422508041255,"GOBP_ER_NUCLEUS_SIGNALING_PATHWAY",-2.58303684685002
14,"Down",0.00980227791459452,0.285422508041255,"GOBP_RESPONSE_TO_CORTICOSTERONE",-2.58272726228764
21,"Down",0.010203225920754,0.293822915206,"GOBP_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION",-2.5688647907316
27,"Down",0.0102041529494656,0.293822915206,"GOBP_POSITIVE_REGULATION_OF_P38MAPK_CASCADE",-2.56883330566594
12,"Up",0.0102960530854913,0.294105428599449,"GOBP_TRNA_5_LEADER_REMOVAL",2.56572462945302
17,"Up",0.0103274528275323,0.294105428599449,"GOBP_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION",2.56466813982824
35,"Down",0.0105128258383601,0.297034099460608,"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",-2.55848862844945
13,"Up",0.0105934383039802,0.297034099460608,"GOBP_T_CELL_EXTRAVASATION",2.55583156479968
38,"Down",0.0106022204129293,0.297034099460608,"GOBP_MATURE_B_CELL_DIFFERENTIATION",-2.55554318542365
59,"Down",0.0108301806722143,0.301789389376809,"GOBP_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",-2.54813095801893
14,"Down",0.0110986084206688,0.307615440878752,"GOBP_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION",-2.53957866162399
39,"Up",0.0113014722759072,0.311571972372483,"GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS",2.53323634834101
17,"Down",0.0114441521337606,0.312036156538506,"GOBP_NEGATIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION",-2.5288358974813
34,"Up",0.0114463437517498,0.312036156538506,"GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS",2.52876868547174
24,"Down",0.0115769761126822,0.312036156538506,"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN",-2.52478296727646
90,"Down",0.0116033993449083,0.312036156538506,"GOBP_NEGATIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",-2.52398162527064
24,"Down",0.0116193282291977,0.312036156538506,"GOBP_POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",-2.52349932910261
41,"Down",0.0117549378179202,0.313308744460323,"GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING",-2.51941691717366
